sifrao,nazivo
15840000-8,"Kakao, èokolada i slatkiši"
15841000-5,Kakao
15841100-6,Kakao masa
15841200-7,"Kakao maslac, mast ili ulje"
15841300-8,Nezaslaðeni kakao u prahu
15841400-9,Zaslaðeni kakao u prahu
15842000-2,Èokolada i slatkiši
15842100-3,Èokolada
15842200-4,Èokoladni proizvodi
15842210-7,Èokoladni napici
15842220-0,Èokoladne table
15842300-5,Slatkiši
15842310-8,Bombone
15842320-1,Nugat
15842400-6,"Ušeæereno voæe, jezgrasto voæe ili kore od voæa"
15850000-1,Testenine
15851000-8,Proizvodi od brašna
15851100-9,Nekuvana testenina
15851200-0,Pripremljena testenina i kus-kus
15851210-3,Pripremljena testenina
15851220-6,Punjena testenina
15851230-9,Lazanje
15851250-5,Kus-kus
15851290-7,Testenina u konzervi
15860000-4,"Kafa, èaj i srodni proizvodi"
15861000-1,Kafa
15861100-2,Pržena kafa
15861200-3,Kafa bez kofeina
15862000-8,Zamene za kafu
15863000-5,Èaj
15863100-6,Zeleni èaj
15863200-7,Crni èaj
15864000-2,Preparati od èaja ili mate-èaja
15864100-3,Èaj u vreæicama
15865000-9,Biljni èajevi
15870000-7,Zaèini i zaèinska sredstva
15871000-4,"Siræe, sosovi, mešani zaèini, brašno i griz od slaèice, pripremljena slaèica (senf)"
15871100-5,Siræe i zamene za siræe
15871110-8,Siræe ili slièni proizvodi
15871200-6,"Sosovi, mešani zaèini i mešana zaèinska sredstva"
15871210-9,Soja sos
15871230-5,Keèap od paradajza
15871250-1,Senf
15871260-4,Sosovi
15871270-7,Mešani zaèini
15871273-8,Majonez
15871274-5,Namazi sa sendvièe
15871279-0,Slatko-kiseli voæni ajvar (èatni)
15872000-1,Zaèinsko bilje i zaèini
15872100-2,Biber
15872200-3,Zaèini
15872300-4,Zaèinsko bilje
15872400-5,So
15872500-6,Ðumbir
15880000-0,Proizvodi za posebne prehrambene potrebe
15881000-7,Homogenizovani prehrambeni proizvodi
15882000-4,Dijetetski proizvodi
15884000-8,Hrana za bebe
15890000-3,Razni prehrambeni i osušeni proizvodi
15891000-0,Supe i èorbe
15891100-1,Supe od mesa
15891200-2,Riblje èorbe
15891300-3,Mešane supe
15891400-4,Supe
15891410-7,Mešavine za supe
15891500-5,Èorbe
15891600-6,Bujon
15891610-9,Mešavine za bujon
15891900-9,Èorbe od povræa
15892000-7,"Sokovi i ekstrakti od povræa, peptièke materije i zgušnjivaèi"
15892100-8,Sokovi od povræa
15892200-9,Ekstrakti od povræa
15892400-1,Zgušnjivaèi
15893000-4,Suvi proizvodi
15893100-5,Mešavine za prehrambene proizvode
15893200-6,Mešavine za poslastice
15893300-7,Mešavine za sosove
15894000-1,Preraðeni prehrambeni proizvodi
15894100-2,Vegetarijanski obroci
15894200-3,Pripremljeni obroci
15894210-6,Školski obroci
15894220-9,Bolnièki obroci
15894300-4,Gotova jela
15894400-5,Grickalice
15894500-6,Proizvodi koji se mogu prodavati u automatskim mašinama za prodaju robe
15894600-7,Nadevi za sendvièe
15894700-8,Delikatesi
15895000-8,Brza hrana
15895100-9,Hamburgeri
15896000-5,Duboko smrznuti proizvodi
15897000-2,Hrana u konzervi i vojnièka sledovanja
15897100-3,Vojnièka sledovanja
15897200-4,Proizvodi u konzervi
15897300-5,Paketi hrane
15898000-9,Kvasac
15899000-6,Prašak za pecivo
15900000-7,"Piæa, duvan i srodni proizvodi"
15910000-0,Destilovana alkoholna piæa
15911000-7,Alkoholna piæa
15911100-8,Rakije
15911200-9,Likeri
15930000-6,Vina
15931000-3,Nearomatizovana vina
15931100-4,Penušava vina
15931200-5,Stona vina
15931300-6,Porto
15931400-7,Madera
15931500-8,Šira
15931600-9,Šeri
15932000-0,Vinski talog
15940000-9,Jabukovaèa i druga voæna vina
15941000-6,Jabukovaèa
15942000-3,Voæna vina
15950000-2,Nedestilovana fermentisana piæa
15951000-9,Vermut
15960000-5,Pivo od slada
15961000-2,Pivo
15961100-3,Lagano pivo (lager)
15962000-9,Talog od vrenja ili destilacije
15980000-1,Bezalkoholna piæa
15981000-8,Mineralna voda
15981100-9,Negazirana mineralna voda
15981200-0,Gazirana mineralna voda
15981300-1,Voda u èvrstom stanju
15981310-4,Led
15981320-7,Sneg
15981400-2,Aromatizovane mineralne vode
15982000-5,Bezalkoholni osvežavajuæi napici
15982100-6,Koncentrati prirodnih voænih sokova
15982200-7,Èokoladno mleko
15990000-4,"Duvan, duvanski proizvodi i pribor"
15991000-1,Duvanski proizvodi
15991100-2,Cigare
15991200-3,Cigarilosi
15991300-4,Cigarete
15992000-8,Duvan
15992100-9,Preraðeni duvan
15993000-5,Materijal za duvanske proizvode
15994000-2,Cigaret hartija i filter hartija
15994100-3,Cigaret hartija
15994200-4,Filter hartija
16000000-5,Poljoprivredne mašine
16100000-6,Mašine za pripremanje i kultivisanje zemlje u poljoprivredi i šumarstvu
16110000-9,Plugovi i tanjiraèe
16120000-2,"Drljaèe, aeratori, kultivatori, plevilice i kopaèice"
16130000-5,"Mašine za sejanje, saðenje ili presaðivanje"
16140000-8,Rasturaèi stajskog ðubriva
16141000-5,Rasturaèi veštaèkog ðubriva
16150000-1,Valjci za travnjake ili sportske terene
16160000-4,Razna baštenska oprema
16300000-8,Mašine za berbu ili žetvu
16310000-1,Kosilice
16311000-8,Kosilice za travu
16311100-9,"Kosilice za travnjake, parkove ili sportske terene"
16320000-4,Mašine za seno
16330000-7,Prese za baliranje slame i stoène hrane
16331000-4,Mašine za skupljanje i vezivanje u bale
16340000-0,"Mašine za berbu, žetvu i vršidbu"
16400000-9,Prskalice za poljoprivredu ili hortikulturu
16500000-0,Samoutovarne ili istovarne prikolice i poluprikolice za poljoprivredne namene
16510000-3,Samoutovarne prikolice za poljoprivredne namene
16520000-6,Istovarne prikolice za poljoprivredne namene
16530000-9,Samoutovarne poluprikolice za poljoprivredne namene
16540000-2,Istovarne poluprikolice za poljoprivredne namene
16600000-1,Specijalne poljoprivredne ili šumarske mašine
16610000-4,"Mašine za èišæenje, sortiranje ili gradiranje jaja, voæa i drugih poljoprivrednih proizvoda"
16611000-1,Mašine za èišæenje poljoprivrednih proizvoda
16611100-2,Mašine za èišæenje jaja
16611200-3,Mašine za èišæenje voæa
16612000-8,Mašine za èišæenje ili gradiranje poljoprivrednih proizvoda
16612100-9,Mašine za sortiranje ili gradiranje jaja
16612200-0,Mašine za sortiranje ili gradiranje voæa
16613000-5,"Mašine za èišæenje, sortiranje ili gradiranje semena, zrnja ili sušenog povræa"
16620000-7,Mašine za mužu
16630000-0,Mašine za pripremu stoène hrane
16640000-3,Mašine za pèelarstvo
16650000-6,Mašine za živinarstvo
16651000-3,Inkubatori za živinu i veštaèke kvoèke
16700000-2,Traktori
16710000-5,Jednoosovinski traktori za poljoprivredu
16720000-8,Polovni traktori
16730000-1,Vuèni motori
16800000-3,Delovi mašina za poljoprivredu i šumarstvo
16810000-6,Delovi poljoprivrednih mašina
16820000-9,Delovi mašina za šumarstvo
18000000-9,"Odeæa, obuæa, prtljag i pribor"
18100000-0,"Radna odeæa, specijalna radna odeæa i pribor"
18110000-3,Radna odeæa
18113000-4,Industrijska radna odeæa
18114000-1,Radni kombinezoni
18130000-9,Specijalna radna odeæa
18132000-3,Letaèka odeæa
18132100-4,Letaèke jakne
18132200-5,Letaèka odela
18140000-2,Dodaci uz radnu odeæu
18141000-9,Radne rukavice
18142000-6,Štitnici za lice
18143000-3,Zaštitna oprema
18200000-1,Odeæa za spoljne uslove
18210000-4,Kaputi
18211000-1,Pelerine
18212000-8,Ogrtaèi
18213000-5,Vetrovke
18220000-7,Odeæa za zaštitu od vremenskih uslova
18221000-4,Nepromoèiva odeæa
18221100-5,Nepromoèive pelerine
18221200-6,Jakne sa kapuljaèom (anorak)
18221300-7,Kišne kabanice
18222000-1,Poslovna odeæa
18222100-2,Muška odela
18222200-3,Ženski kompleti
18223000-8,Jakne i sakoi
18223100-9,Sakoi
18223200-0,Jakne
18224000-5,Odeæa od prevuèenih ili impregniranih tekstilnih tkanina
18230000-0,Razna odeæa za spoljne uslove
18231000-7,Haljine
18232000-4,Suknje
18233000-1,Kratke pantalone
18234000-8,Pantalone
18235000-5,"Puloveri, džemperi sa zakopèavanjem i slièni proizvodi"
18235100-6,Puloveri
18235200-7,Džemperi sa zakopèavanjem
18235300-8,Majice
18235400-9,Prsluci
18300000-2,Odevni predmeti
18310000-5,Donje rublje
18311000-2,Ženski kombinezoni
18312000-9,Muške gaæe
18313000-6,Ženske gaæice
18314000-3,Bade mantili
18315000-0,Èarape
18316000-7,Unihop èarape
18317000-4,Kratke èarape
18318000-1,Spavaæice i pidžame
18318100-2,Noæne košulje
18318200-3,Kuæne haljine
18318300-4,Pidžame
18318400-5,Potkošulje
18318500-6,Spavaæice
18320000-8,"Grudnjaci, steznici, podvezice i slièni proizvodi"
18321000-5,Grudnjaci
18322000-2,Steznici
18323000-9,Podvezice
18330000-1,Majice sa kratkim rukavima i košulje
18331000-8,Majice sa kratkim rukavima
18332000-5,Košulje
18333000-2,Majice sa kragnom (polo majice)
18400000-3,Posebna odeæa i pribor
18410000-6,Posebna odeæa
18411000-3,Odeæa za bebe i malu decu
18412000-0,Sportska odeæa
18412100-1,Trenerke
18412200-2,Sportske majice
18412300-3,Skijaška odela
18412800-8,Kupaæe gaæice ili kostimi
18420000-9,Dodaci uz odeæu
18421000-6,Maramice
18422000-3,Šalovi
18423000-0,Kravate
18424000-7,Rukavice
18424300-0,Rukavice za jednokratnu upotrebu
18424400-1,Rukavice bez prstiju
18424500-2,Rukavice sa dugim zaštitnim nastavkom
18425000-4,Pojasevi i kaiševi
18425100-5,Remenici
18440000-5,Šeširi i pokrivke za glavu
18441000-2,Šeširi
18443000-6,Pokrivke za glavu i pribor za pokrivke za glavu
18443100-7,Trake za glavu
18443300-9,Pokrivke za glavu
18443310-2,Beretke
18443320-5,Kape sa štitnikom
18443330-8,Kapuljaèe
18443340-1,Kaèketi
18443400-0,Trake za vezivanje pokrivki za glavu ispod brade
18443500-1,Štitnici od sunca
18444000-3,Zaštitne pokrivke za glavu
18444100-4,Sigurnosne pokrivke za glavu
18444110-7,Šlemovi
18444111-4,Zaštitne kacige (za motoriste)
18444112-1,Biciklistièke kacige
18444200-5,Graðevinski šlemovi
18450000-8,Kopèe (odeæa)
18451000-5,Dugmad
18451100-6,Delovi dugmadi
18452000-2,Zihernadle
18453000-9,Patent zatvaraèi (rajsferšlusi)
18500000-4,"Nakit, satovi i srodni proizvodi"
18510000-7,Nakit i srodni proizvodi
18511000-4,Drago kamenje za nakit
18511100-5,Dijamanti
18511200-6,Rubini
18511300-7,Smaragdi
18511400-8,Opal
18511500-9,Kvarc
18511600-0,Turmalin
18512000-1,Kovanice i medalje
18512100-2,Kovanice
18512200-3,Medalje
18513000-8,Komadi nakita
18513100-9,Biseri
18513200-0,Juvelirski proizvodi od zlata
18513300-1,Proizvodi od plemenitih metala
18513400-2,Proizvodi od dragog ili poludragog kamenja
18513500-3,Juvelirski proizvodi od srebra
18520000-0,Lièni ureðaji za merenje vremena
18521000-7,Ruèni ili džepni satovi
18521100-8,Stakla za ruène ili džepne satove
18522000-4,Ruèni satovi
18523000-1,Štoperice
18530000-3,Pokloni i nagrade
18600000-5,Krzna i proizvodi od krzna
18610000-8,Proizvodi od krzna
18611000-5,Životinjska koža sa krznom
18612000-2,Krznena odeæa
18613000-9,Proizvodi od veštaèkog krzna
18620000-1,Krzna
18800000-7,Obuæa
18810000-0,"Obuæa, osim sportske i zaštitne obuæe"
18811000-7,Nepromoèiva obuæa
18812000-4,Obuæa sa delovima od gume ili plastiène mase
18812100-5,Sandale sa gornjištem od gume ili plastiène mase
18812200-6,Gumene èizme
18812300-7,Obuæa za grad sa gumenim ili plastiènim gornjištem
18812400-8,Japanke
18813000-1,Obuæa sa gornjištem od kože
18813100-2,Sandale
18813200-3,Papuèe
18813300-4,Obuæa za grad
18814000-8,Obuæa sa gornjištem od tekstila
18815000-5,Èizme
18815100-6,Èizme do gležnja
18815200-7,Èizme do lista
18815300-8,Èizme do kolena
18815400-9,Ribarske (visoke) èizme
18816000-2,Kaljaèe
18820000-3,Sportska obuæa
18821000-0,Skijaška obuæa
18821100-1,Obuæa za skijaški kros kantri
18822000-7,Obuæa za vežbanje
18823000-4,Obuæa za planinarenje
18824000-1,Obuæa za fudbal
18830000-6,Zaštitna obuæa
18831000-3,Obuæa sa zaštitnom metalnom kapnom
18832000-0,Specijalna obuæa
18832100-1,Letaèka obuæa
18840000-9,Delovi obuæe
18841000-6,Gornjišta
18842000-3,Ðonovi
18843000-0,Pete
18900000-8,"Prtljag, sedlarski proizvodi, vreæe i torbe"
18910000-1,Sedlarski proizvodi
18911000-8,Sedla
18912000-5,Jahaæi korbaèi
18913000-2,Bièevi
18920000-4,Prtljag
18921000-1,Koferi
18923000-5,Vreæice i novèanici
18923100-6,Vreæice
18923200-7,Novèanici
18924000-2,Kovèezi
18925000-9,Držaèi za èuturice i futrole za pištolj
18925100-0,Držaèi za èuturice
18925200-1,Futrole za pištolj
18929000-7,Neseseri
18930000-7,Vreæe i torbe
18931000-4,Putne torbe
18931100-5,Ruksaci
18932000-1,Sportske torbe
18933000-8,Torbe za poštanska pisma ili pakete
18933100-9,Poštanske vreæe
18934000-5,Torbice za pribor
18935000-2,Vreæe za prljavo rublje
18936000-9,Torbe od tekstila
18937000-6,Vreæe za pakovanje robe
18937100-7,Vreæice za pakovanje robe
18938000-3,Postavljene torbe
18939000-0,Ruène torbe
19000000-6,"Koža i tekstilne tkanine, plastièni i gumeni materijali"
19100000-7,Koža
19110000-0,Semišovana koža
19120000-3,Koža goveda ili kopitara
19130000-6,"Ovèija, kozija ili svinjska koža"
19131000-3,Ovèija ili janjeæa koža
19132000-0,Kozja ili jareæa koža
19133000-7,Svinjska koža
19140000-9,"Koža drugih životinja, veštaèka i druga koža"
19141000-6,Koža drugih životinja
19142000-3,Veštaèka koža
19143000-0,Imitacija kože
19144000-7,Lakovana koža
19160000-5,Kaiševi za ruène satove
19170000-8,Proizvodi od kože koji se upotrebljavaju za mašine ili mehanièke ureðaje
19200000-8,Tkanine od tekstila i srodni proizvodi
19210000-1,Tkanine
19211000-8,Sintetièke tkanine
19211100-9,Tkanine od mešovitih vlakana
19212000-5,Pamuène tkanine
19212100-6,Materijal za navlake na dušecima i madracima
19212200-7,Teksas platno
19212300-8,Platno
19212310-1,Proizvodi od platna
19212400-9,Puplin
19212500-0,Gurtne
19212510-3,Trakaste gurtne
19220000-4,Vunene tkanine
19230000-7,Lanene tkanine
19231000-4,Laneno platno
19240000-0,Specijalne tkanine
19241000-7,Baršun
19242000-4,Frotir tkanine
19243000-1,Mebl štofovi za nameštaj i tapaciranje
19244000-8,Tkanine za zavese
19245000-5,Tkanine za postave
19250000-3,Pleteni ili kukièani materijali
19251000-0,Pleteni materijali
19251100-1,Baršunaste tkanine
19252000-7,Kukièani materijali
19260000-6,Tekstil
19270000-9,Netkani tekstil
19280000-2,"Životinjska vuna, krupne i sitne kože"
19281000-9,Vuna
19282000-6,Životinjske kože
19283000-3,Ptièje kože i perje
19400000-0,Tekstilna prediva i konac
19410000-3,Prirodna tekstilna vlakna
19420000-6,Veštaèka tekstilna vlakna
19430000-9,Tekstilna prediva i konac od prirodnih vlakana
19431000-6,Svileno predivo
19432000-3,Vuneno predivo
19433000-0,Pamuèno predivo
19434000-7,Laneno predivo
19435000-4,Konac za šivenje i predivo od prirodnih vlakana
19435100-5,Konac za šivenje
19435200-6,Predivo za pletenje
19436000-1,Predivo od biljnih tekstilnih vlakana
19440000-2,Sintetièko predivo ili konac
19441000-9,Sintetièko predivo
19442000-6,Sintetièki konac
19442100-7,Sintetièki konac za šivenje
19442200-8,Sintetièko predivo za pletenje
19500000-1,Gumeni i plastièni materijali
19510000-4,Gumeni proizvodi
19511000-1,"Unutrašnje gume, gazeæi slojevi i zaštitni ulošci (pojasevi) od kauèuka"
19511100-2,Zaštitni ulošci (pojasevi)
19511200-3,Unutrašnje gume
19511300-4,Gazeæi slojevi
19512000-8,Proizvodi od nevulkanizovane gume
19513000-5,Gumirane tkanine
19513100-6,Kord tkanine za spoljne pneumatske gume
19513200-7,Lepljive trake od gumirane tkanine
19514000-2,Regenerisana guma
19520000-7,Proizvodi od plastiènih masa
19521000-4,Proizvodi od polistirena
19521100-5,Listovi od polistirena
19521200-6,Ploèe od polistirena
19522000-1,Smole
19522100-2,Epoksi smola
19522110-5,Cevi od epoksi smole
19600000-2,"Kožni, tekstilni, gumeni i plastièni otpad"
19610000-5,Kožni otpad
19620000-8,Tekstilni otpad
19630000-1,Gumeni otpad
19640000-4,Vreæe i kese za otpad od polietilena
19700000-3,Sintetièka guma i vlakna
19710000-6,Sintetièka guma
19720000-9,Sintetièka vlakna
19721000-6,Kuèina od sintetièkih filamenata
19722000-3,Predivo velike jaèine
19723000-0,Teksturirano jednožièno predivo
19724000-7,Sintetièki monofilament
19730000-2,Veštaèka vlakna
19731000-9,"Veštaèka vlakna, seèena"
19732000-6,Polipropilen
19733000-3,Veštaèka teksturirana vlakna
22000000-0,Štampani materijal i srodni proizvodi
22100000-1,"Štampane knjige, brošure i leci"
22110000-4,Štampane knjige
22111000-1,Školske knjige
22112000-8,Udžbenici
22113000-5,Knjige za biblioteke
22114000-2,"Reènici, geografske karte, notne sveske i druge knjige"
22114100-3,Reènici
22114200-4,Atlasi
22114300-5,Geografske karte
22114310-8,Katastarske mape
22114311-5,Reprodukcije tehnièkih crteža
22114400-6,Štampane note
22114500-7,Enciklopedije
22120000-7,Publikacije
22121000-4,Tehnièke publikacije
22130000-0,Telefonski imenici
22140000-3,Leci
22150000-6,Brošure
22160000-9,Knjižice
22200000-2,"Novine, revije, periodiène publikacije i èasopisi"
22210000-5,Novine
22211000-2,Revije
22211100-3,Službene novine
22212000-9,Periodiène publikacije
22212100-0,Serijske publikacije
22213000-6,Èasopisi
22300000-3,"Razglednice, èestitke i drugi štampani materijal"
22310000-6,Razglednice
22312000-0,Slike
22313000-7,Hartije za preslikavanje
22314000-4,Gravure
22315000-1,Fotografije
22320000-9,Èestitke
22321000-6,Božiæne èestitke
22400000-4,"Marke, èekovi, novèanice, potvrde o izdatim deonicama, trgovaèki reklamni materijal, katalozi i priruènici"
22410000-7,Poštanske marke
22411000-4,Božiæne poštanske marke
22412000-1,Nove marke
22413000-8,Kuponi za popust
22414000-5,Držaèi za poštanske marke
22420000-0,Hartija sa suvim žigom
22430000-3,Novèanice
22440000-6,Èekovi
22450000-9,Štampani materijal sa zaštitom od falsifikovanja
22451000-6,Pasoši
22452000-3,Poštanske narudžbenice
22453000-0,Nalepnice za plaæenu naknadu za korišæenje puteva
22454000-7,Vozaèke dozvole
22455000-4,Liène karte
22455100-5,Identifikacione narukvice
22456000-1,Dozvole
22457000-8,Ulaznice
22458000-5,Materijal štampan po narudžbini
22459000-2,Karte
22459100-3,Reklamne nalepnice i trake
22460000-2,"Trgovaèki reklamni materijal, prodajni katalozi i priruènici"
22461000-9,Katalozi
22461100-0,Držaèi za listove
22462000-6,Reklamni materijal
22470000-5,Priruènici
22471000-2,Priruènici za raèunare
22472000-9,Uputstva za upotrebu
22473000-6,Tehnièki priruènici
22500000-5,Štamparske ploèe ili valjci ili druge podloge koje se koriste u štampanju
22510000-8,Ploèe za ofset štampu
22520000-1,Oprema za suvo graviranje
22521000-8,Oprema za graviranje
22600000-6,Mastilo
22610000-9,Štamparske boje
22611000-6,Mastilo za duboku štampu
22612000-3,Tuš
22800000-8,"Registratori od hartije ili kartona, raèunovodstvene knjige, fascikle, obrasci i drugi štampani kancelarijski materijal"
22810000-1,Registratori od hartije ili kartona
22813000-2,Raèunovodstvene knjige
22814000-9,Blok priznanice
22815000-6,Sveske
22816000-3,Blokovi
22816100-4,Blokovi za beleške
22816200-5,Blokovi za stenografsko pisanje
22816300-6,Blokovi sa lepljivim listiæima
22817000-0,Dnevnici ili rokovnici
22819000-4,Adresari
22820000-4,Obrasci
22821000-1,Listiæi za izbore
22822000-8,Poslovni obrasci
22822100-9,Poslovni obrasci na perforiranom papiru
22822200-0,Pojedinaèni poslovni obrasci
22830000-7,Školske vežbanke
22831000-4,Dodatni listovi za školske sveske
22832000-1,Hartija za vežbanje
22840000-0,Albumi za uzorke
22841000-7,Albumi za zbirke
22841100-8,Kompleti poštanskih maraka
22841200-9,Albumi za poštanske marke
22850000-3,Fascikle i srodni proizvodi
22851000-0,Fascikle
22852000-7,Registratori ili klaseri za spise
22852100-8,Košuljice za spise
22853000-4,Držaèi za spise
22900000-9,Razni štampani materijal
22990000-6,"Novinska hartija, ruèno izraðena hartija i druga nepremazana hartija ili karton za grafièku upotrebu"
22991000-3,Novinska hartija
22992000-0,Ruèno izraðena hartija ili karton
22993000-7,"Fotoosetljiva, termoosetljiva ili termografska hartija i karton"
22993100-8,Fotoosetljiva hartija ili karton
22993200-9,Termoosetljiva hartija ili karton
22993300-0,Termografska hartija ili karton
22993400-1,Talasasta hartija ili karton
24000000-4,Hemijski proizvodi
24100000-5,Gasovi
24110000-8,Industrijski gasovi
